Name, Start date, Start time, End date, End Time, Description, URL, Latitude, Longitude
Didcot repair cafe, 2025-07-19, 14:00:00, 2025-07-19, 17:00:00, "Volunteer repair and help fixing clothes, electronics, tools, and all sorts of other things", "", 51.610007, -1.241605
Didcot repair cafe, 2025-08-16, 14:00:00, 2025-08-16, 17:00:00, "Volunteer repair and help fixing clothes, electronics, tools, and all sorts of other things", "", 51.610007, -1.241605
Didcot repair cafe, 2025-09-20, 14:00:00, 2025-09-20, 17:00:00, "Volunteer repair and help fixing clothes, electronics, tools, and all sorts of other things", "", 51.610007, -1.241605
Didcot repair cafe, 2025-10-18, 14:00:00, 2025-10-18, 17:00:00, "Volunteer repair and help fixing clothes, electronics, tools, and all sorts of other things", "", 51.610007, -1.241605
Didcot repair cafe, 2025-11-15, 14:00:00, 2025-11-15, 17:00:00, "Volunteer repair and help fixing clothes, electronics, tools, and all sorts of other things", "", 51.610007, -1.241605
Didcot repair cafe, 2025-12-20, 14:00:00, 2025-12-20, 17:00:00, "Volunteer repair and help fixing clothes, electronics, tools, and all sorts of other things", "", 51.610007, -1.241605

Makers Hour, 2025-07-17, 20:00:00, 2025-07-17, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-07-24, 20:00:00, 2025-07-24, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-07-31, 20:00:00, 2025-07-31, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-08-07, 20:00:00, 2025-08-07, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-08-14, 20:00:00, 2025-08-14, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-08-21, 20:00:00, 2025-08-21, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-08-28, 20:00:00, 2025-08-28, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-09-04, 20:00:00, 2025-09-04, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-09-11, 20:00:00, 2025-09-11, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-09-18, 20:00:00, 2025-09-18, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-09-25, 20:00:00, 2025-09-25, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-10-02, 20:00:00, 2025-10-02, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-10-09, 20:00:00, 2025-10-09, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-10-16, 20:00:00, 2025-10-16, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-10-23, 20:00:00, 2025-10-23, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-10-30, 20:00:00, 2025-10-30, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-11-06, 20:00:00, 2025-11-06, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-11-13, 20:00:00, 2025-11-13, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-11-20, 20:00:00, 2025-11-20, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-11-27, 20:00:00, 2025-11-27, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-12-04, 20:00:00, 2025-12-04, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-12-11, 20:00:00, 2025-12-11, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-12-18, 20:00:00, 2025-12-18, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 
Makers Hour, 2025-12-25, 20:00:00, 2025-12-25, 21:00:00, "Chat and question session on mastodon", "https://cupoftea.social/@MakersHour", , 

Gauss Fest, 2025-09-07, 10:00:00, 2025-09-07, 16:00:00, "Discover the fascinating world of electricity at Gaussfest! A public demonstration of Tesla Coils, High Voltage Multiplies, Van De Graffs, and Violet Ray Machines. Experience indoor lightning and magnificent light shows!", https://www.extremeelectronics.co.uk/the-gaussfest/, 51.488887, -0.290400

Makers Central, 2026-05-16, 10:00:00, 2026-05-16, 17:30:00, "A fun family event for creators, makers and hobbyists!", "https://www.makerscentral.co.uk/", 52.4512, -1.7212
Makers Central, 2026-05-17, 10:00:00, 2026-05-17, 16:30:00, "A fun family event for creators, makers and hobbyists!", "https://www.makerscentral.co.uk/", 52.4512, -1.7212

Barcamp Surrey, 2025-08-02, 09:00:00, 2025-08-02, 17:30:00, "A Technology 'Open Forum' in the Heart of Surrey. Everyone is encouraged to attend—whether to simply listen or to actively participate by giving a talk. Talks can cover any topic you think others might find interesting, whether it’s about a hobby, something you’ve created, or even a technical or non-technical subject. It’s all about fostering curiosity and community engagement!", "https://barcampsurrey.org/", 51.176197, -0.6196609


Tech Talks Pesda, 2025-07-30, 18:30, 2025-07-30, 20:30:00, "Ymunwch â ni yng Nghanolfan Cefnfaes rhwng 6.30 ac 8.30pm ar nos Fercher 30 Gorffennaf am amrywiaeth o sgyrsiau sy'n ymwneud â thechnoleg a rhwydweithio. Eisiau rhoi cyflwyniad? Oes gennych chi rywbeth i'w rannu? Cysylltwch â ni!

Join us at Canolfan Cefnfaes between 6.30 and 8.30pm on Wednesday the 30th July for a range of tech related talks and networking. Want to talk? Got something to share? Get in touch!", https://www.eventbrite.co.uk/e/tech-talks-pesda-tickets-1446947301329, 53.181196, -4.064392

